WellID,DaysAfter,Bacterial16Sgenesresult,logBacterial16Sgenes,Bacterial16Sgenes/L,Normbac16S,Archaeal16Sgenesresult,logArchaeal16Sgenes,Archaeal16Sgenes/L,Normarc16S,Total16S/L,Normtot,Archaeapercent,Bacteriapercent
FW215,-28,7.66 (+19%),7.66,45708818.96,1,6.21 (+72%)^{‡},6.21,1621810.097,1,47330629.06,1,3.426555128,96.57344487
FW215,4,9.36 (+3%),9.36,2290867653,50.11872336,6.55 (+58%),6.55,3548133.892,2.187761624,2294415787,48.47634254,0.15464215,99.84535785
FW215,17,8.40 (+5%),8.4,251188643.2,5.495408739,6.40,6.4,2511886.432,1.548816619,253700529.6,5.360176584,0.99009901,99.00990099
FW215,31,9.15 (+8%),9.15,1412537545,30.90295433,7.49 (+32%),7.49,30902954.33,19.05460718,1443440499,30.49696418,2.140923325,97.85907667
FW215,80,8.98 (+18%),8.98,954992586,20.89296131,7.32 (+13%),7.32,20892961.31,12.88249552,975885547.3,20.61847828,2.140923325,97.85907667
FW215,140,7.67 (+22%),7.67,46773514.13,1.023292992,5.57 (+18%)^{‡},5.57,371535.2291,0.229086765,47145049.36,0.996079078,0.788068385,99.21193161
FW215,269,-,,,,-,,,,,,,
MLSG4,-28,8.61 (+15%),8.61,407380277.8,1,7.10 (+10%),7.1,12589254.12,1,419969531.9,1,2.997658916,97.00234108
MLSG4,4,8.76 (+40%),8.76,575439937.3,1.412537545,6.08 (+42%),6.08,1202264.435,0.095499259,576642201.8,1.373057229,0.208494007,99.79150599
MLSG4,17,8.96 (+47%),8.96,912010839.4,2.238721139,6.45 (+54%),6.45,2818382.931,0.223872114,914829222.3,2.178322837,0.308077493,99.69192251
MLSG4,31,9.90 (+20%),9.9,7943282347,19.498446,7.66 (+8%),7.66,45708818.96,3.630780548,7988991166,19.02278751,0.572147572,99.42785243
MLSG4,80,9.03 (+9%),9.03,1071519305,2.630267992,7.73 (+20%),7.73,53703179.64,4.265795188,1125222485,2.679295519,4.772672103,95.2273279
MLSG4,140,9.10 (+8%),9.1,1258925412,3.090295433,8.35 (+23%),8.35,223872113.9,17.7827941,1482797526,3.530726429,15.09795572,84.90204428
MLSG4,269,8.51 (+3%),8.51,323593656.9,0.794328235,7.45 (+10%),7.45,28183829.31,2.238721139,351777486.2,0.837626207,8.011834303,91.9881657
FW202,-28,8.16 (+4%),8.16,144543977.1,1,6.72 (+58%),6.72,5248074.602,1,149792051.7,1,3.503573483,96.49642652
FW202,4,9.56 (+9%),9.56,3630780548,25.11886432,6.93 (+14%),6.93,8511380.382,1.621810097,3639291928,24.29562775,0.233874626,99.76612537
FW202,17,9.78 (+8%),9.78,6025595861,41.68693835,7.25 (+80%),7.25,17782794.1,3.388441561,6043378655,40.34512237,0.294252522,99.70574748
FW202,31,9.34 (+3%),9.34,2187761624,15.13561248,6.86 (+10%),6.86,7244359.601,1.380384265,2195005984,14.65368796,0.330038262,99.66996174
FW202,80,8.32 (+14%),8.32,208929613.1,1.445439771,7.10 (+13%),7.1,12589254.12,2.398832919,221518867.2,1.4788426,5.683152084,94.31684792
FW202,140,9.18 (+9%),9.18,1513561248,10.47128548,8.75 (+20%),8.75,562341325.2,107.1519305,2075902574,13.85856292,27.08900371,72.91099629
FW202,269,7.67 (+10%),7.67,46773514.13,0.323593657,5.07 (+12%),5.07,117489.7555,0.022387211,46891003.88,0.313040668,0.250559267,99.74944073
